contName,type,nRows,nCols,a1_x,a1_y,spacing,diameter,height,well_depth,volume,min_vol,max_vol,custom
microplate_24,microplate,6,4,13.5,17.5,19.3,15.62,16.2,16.2,3400,380,570,NaN
microplate_96_deep_well,microplate,12,8,13.5,16.5,9,7.5,33.5,33.5,2000,,,
